customer_tier,claim_country,product_code,product_name,claim_count,total_claim_amount,average_claim_amount,approved_claims,rejected_claims,pending_claims,approval_rate
BRONZE,UK,HEALTH,Health Insurance,1526,3.747650761000003E7,24558.65505242466,493,532,501,32.31
PLATINUM,UK,HEALTH,Health Insurance,1457,3.641769008999998E7,24994.982903225795,475,494,488,32.6
SILVER,IT,HEALTH,Health Insurance,1479,3.724707119999998E7,25183.956186612562,475,491,513,32.12
UNKNOWN,AT,LIFE,Life Insurance,8589,2.1816810282000017E8,25400.873538246615,2927,2867,2795,34.08
SILVER,NL,LIFE,Life Insurance,1484,3.809519465000002E7,25670.616340970366,465,526,493,31.33
GOLD,FI,HEALTH,Health Insurance,1492,3.691722841E7,24743.450676943696,508,469,515,34.05
UNKNOWN,NO,LIFE,Life Insurance,293,7490000.089999994,25563.14023890783,98,82,113,33.45
PLATINUM,FR,HEALTH,Health Insurance,1485,3.750504542999997E7,25255.922848484828,489,491,505,32.93
UNKNOWN,AT,HEALTH,Health Insurance,8460,2.1396694441000086E8,25291.600994089935,2756,2890,2814,32.58
PLATINUM,FI,LIFE,Life Insurance,1433,3.502345001999999E7,24440.6490020935,493,470,470,34.4
PLATINUM,UK,LIFE,Life Insurance,1379,3.5067786799999975E7,25429.867150108756,459,474,446,33.28
BRONZE,SE,LIFE,Life Insurance,1457,3.6918090689999975E7,25338.42875085791,469,480,508,32.19
UNKNOWN,NL,HEALTH,Health Insurance,325,8051288.669999999,24773.195907692305,110,109,106,33.85
GOLD,UK,HEALTH,Health Insurance,1496,3.8061650560000025E7,25442.279786096275,519,469,508,34.69
BRONZE,FR,HEALTH,Health Insurance,1510,3.832927212999997E7,25383.6239271523,485,495,530,32.12
BRONZE,SK,LIFE,Life Insurance,1457,3.642743954000002E7,25001.674358270433,497,487,473,34.11
GOLD,SE,LIFE,Life Insurance,1458,3.7031837869999915E7,25399.065754458104,457,489,512,31.34
UNKNOWN,UK,HEALTH,Health Insurance,286,6958754.289999998,24331.3087062937,79,96,111,27.62
UNKNOWN,IT,HEALTH,Health Insurance,293,7774439.680000003,26533.92382252561,99,103,91,33.79
PLATINUM,DE,LIFE,Life Insurance,1512,3.778947503999995E7,24993.03904761901,477,504,531,31.55
GOLD,AT,HEALTH,Health Insurance,42997,1.0840119766800041E9,25211.339783705935,14432,14232,14333,33.57
SILVER,NL,HEALTH,Health Insurance,1474,3.7315377520000026E7,25315.72423337858,531,503,440,36.02
BRONZE,UK,LIFE,Life Insurance,1477,3.6728594319999956E7,24867.023913337816,512,490,475,34.66
BRONZE,IT,HEALTH,Health Insurance,1527,3.886944730999994E7,25454.77885396198,507,499,521,33.2
GOLD,FR,HEALTH,Health Insurance,1448,3.7724545429999985E7,26052.86286602209,515,458,475,35.57
PLATINUM,SK,HEALTH,Health Insurance,1533,3.8570864679999895E7,25160.381395955574,490,494,549,31.96
SILVER,CH,LIFE,Life Insurance,1574,4.004032253000003E7,25438.578481575623,527,529,518,33.48
SILVER,CH,HEALTH,Health Insurance,1494,3.730948105000004E7,24972.878882195477,483,527,484,32.33
SILVER,SK,LIFE,Life Insurance,1519,3.812445414000004E7,25098.389822251505,487,521,511,32.06
UNKNOWN,NL,LIFE,Life Insurance,300,7527473.219999998,25091.577399999995,81,112,107,27.0
GOLD,NO,LIFE,Life Insurance,1564,4.027240157E7,25749.61737212276,577,507,480,36.89
PLATINUM,IT,LIFE,Life Insurance,1439,3.644786076000001E7,25328.603724808905,508,469,462,35.3
PLATINUM,NL,HEALTH,Health Insurance,1453,3.600467378000003E7,24779.541486579514,513,466,474,35.31
GOLD,ES,HEALTH,Health Insurance,1540,3.808044722000003E7,24727.56312987015,510,515,515,33.12
UNKNOWN,CH,LIFE,Life Insurance,284,7357913.089999993,25908.14468309857,89,103,92,31.34
BRONZE,DE,LIFE,Life Insurance,1434,3.718195677999996E7,25928.840153416986,498,448,488,34.73
GOLD,AT,LIFE,Life Insurance,42785,1.080617824079991E9,25256.931730279095,14190,14330,14265,33.17
UNKNOWN,NO,HEALTH,Health Insurance,269,7217806.000000001,26831.992565055767,92,83,94,34.2
GOLD,SE,HEALTH,Health Insurance,1522,3.84477125E7,25261.309132720104,505,505,512,33.18
UNKNOWN,DE,HEALTH,Health Insurance,297,7264347.650000003,24459.082996633006,108,98,91,36.36
BRONZE,NO,HEALTH,Health Insurance,1477,3.7477854839999974E7,25374.30930264047,490,456,531,33.18
GOLD,SK,HEALTH,Health Insurance,1488,3.7675618650000006E7,25319.63618951613,516,485,487,34.68
SILVER,AT,HEALTH,Health Insurance,43497,1.0938708963799942E9,25148.191746097298,14491,14530,14476,33.31
BRONZE,ES,LIFE,Life Insurance,1513,3.906241908000007E7,25817.8579510906,506,487,520,33.44
UNKNOWN,SE,HEALTH,Health Insurance,289,7419954.199999996,25674.582006920402,95,89,105,32.87
SILVER,AT,LIFE,Life Insurance,43809,1.1093577680900013E9,25322.59965052846,14730,14535,14544,33.62
PLATINUM,SE,LIFE,Life Insurance,1496,3.736526861000006E7,24976.783830213943,511,493,492,34.16
SILVER,UK,HEALTH,Health Insurance,1500,3.708646024999993E7,24724.30683333329,507,520,473,33.8
UNKNOWN,FR,HEALTH,Health Insurance,315,7555331.529999999,23985.179460317457,104,100,111,33.02
PLATINUM,NL,LIFE,Life Insurance,1449,3.605252945999992E7,24880.972712215265,468,511,470,32.3
GOLD,NL,HEALTH,Health Insurance,1412,3.534997526999996E7,25035.393250708184,463,476,473,32.79
SILVER,IT,LIFE,Life Insurance,1492,3.768429314000007E7,25257.569128686373,499,501,492,33.45
UNKNOWN,SK,LIFE,Life Insurance,284,7433127.550000003,26172.984330985924,102,94,88,35.92
PLATINUM,IT,HEALTH,Health Insurance,1437,3.6094213379999965E7,25117.75461377868,486,467,484,33.82
BRONZE,IT,LIFE,Life Insurance,1482,3.8224490529999904E7,25792.50373144393,522,503,457,35.22
SILVER,ES,HEALTH,Health Insurance,1521,3.868749319999991E7,25435.564234056485,497,527,497,32.68
PLATINUM,AT,HEALTH,Health Insurance,42930,1.079290353860005E9,25140.70239599359,14452,14278,14200,33.66
UNKNOWN,DE,LIFE,Life Insurance,292,7231981.919999997,24767.061369863004,99,100,93,33.9
BRONZE,CH,LIFE,Life Insurance,1453,3.7000261820000045E7,25464.736283551305,451,511,491,31.04
PLATINUM,DE,HEALTH,Health Insurance,1500,3.7866698649999954E7,25244.465766666635,496,488,516,33.07
BRONZE,FI,HEALTH,Health Insurance,1394,3.5584941720000006E7,25527.217876614064,484,476,434,34.72
SILVER,SE,HEALTH,Health Insurance,1525,3.869103598000006E7,25371.171134426266,512,512,501,33.57
BRONZE,AT,LIFE,Life Insurance,42901,1.0898392451199918E9,25403.58604974224,14343,14358,14200,33.43
GOLD,ES,LIFE,Life Insurance,1562,3.985024478999998E7,25512.32060819461,487,538,537,31.18
UNKNOWN,ES,HEALTH,Health Insurance,315,7598679.889999992,24122.793301587277,100,110,105,31.75
GOLD,NL,LIFE,Life Insurance,1424,3.509544693999993E7,24645.679030898827,485,462,477,34.06
UNKNOWN,ES,LIFE,Life Insurance,295,7300912.549999997,24748.856101694906,106,99,90,35.93
SILVER,ES,LIFE,Life Insurance,1478,3.742680595999994E7,25322.60213802432,491,510,477,33.22
GOLD,FI,LIFE,Life Insurance,1551,3.929012272000001E7,25332.12296582851,524,497,530,33.78
PLATINUM,NO,LIFE,Life Insurance,1466,3.6784251270000055E7,25091.576582537557,484,506,476,33.02
SILVER,DE,HEALTH,Health Insurance,1514,3.7114541430000044E7,24514.2281571995,520,497,497,34.35
PLATINUM,ES,HEALTH,Health Insurance,1477,3.791818072000003E7,25672.431090047412,470,515,492,31.82
PLATINUM,NO,HEALTH,Health Insurance,1476,3.8491337610000044E7,26078.142012195152,547,454,475,37.06
SILVER,NO,HEALTH,Health Insurance,1495,3.805944859000005E7,25457.82514381274,484,502,509,32.37
BRONZE,NO,LIFE,Life Insurance,1516,3.790969390999996E7,25006.39439973612,513,528,475,33.84
BRONZE,FR,LIFE,Life Insurance,1457,3.579128590000004E7,24565.055525051506,484,478,495,33.22
GOLD,DE,LIFE,Life Insurance,1489,3.696591550999995E7,24826.001014103393,465,503,521,31.23
BRONZE,ES,HEALTH,Health Insurance,1484,3.738781811000009E7,25193.94751347715,503,486,495,33.89
SILVER,NO,LIFE,Life Insurance,1548,3.816305070999999E7,24653.13353359173,509,471,568,32.88
GOLD,SK,LIFE,Life Insurance,1486,3.756431596999998E7,25278.81290040375,522,492,472,35.13
BRONZE,NL,LIFE,Life Insurance,1545,3.9624302390000075E7,25646.79766343047,516,474,555,33.4
SILVER,FI,LIFE,Life Insurance,1505,3.703451854000002E7,24607.65351495018,518,507,480,34.42
PLATINUM,CH,HEALTH,Health Insurance,1541,3.891774965999999E7,25254.866748864366,535,472,534,34.72
PLATINUM,AT,LIFE,Life Insurance,43107,1.0905174571000063E9,25297.920456074567,14357,14315,14435,33.31
SILVER,DE,LIFE,Life Insurance,1526,3.921104744999994E7,25695.31287680206,478,525,523,31.32
GOLD,IT,LIFE,Life Insurance,1427,3.521883238999994E7,24680.331037140815,491,440,496,34.41
PLATINUM,FR,LIFE,Life Insurance,1410,3.4979804720000066E7,24808.37214184402,473,472,465,33.55
BRONZE,SK,HEALTH,Health Insurance,1514,3.930813936999994E7,25963.103943196787,485,513,516,32.03
UNKNOWN,FR,LIFE,Life Insurance,303,7921779.1,26144.485478547853,96,107,100,31.68
